iter	Logloss
0	0.5334856211
1	0.4205303095
2	0.3439568074
3	0.2905571251
4	0.2518317577
5	0.2254885741
6	0.2032811439
7	0.1899772143
8	0.1784467457
9	0.1701152648
10	0.1643820149
11	0.1598188
12	0.1555855647
13	0.1524071753
14	0.15020977
15	0.1480789523
16	0.1462490851
17	0.1450315361
18	0.1439880959
19	0.1430476463
20	0.1422849258
21	0.141791151
22	0.1412005303
23	0.1408316346
24	0.1405413165
25	0.1399960988
26	0.1396762081
27	0.139248774
28	0.139042672
29	0.1389115594
30	0.1383816615
31	0.1380894144
32	0.1380648708
33	0.1380089844
34	0.1378434965
35	0.1376172976
36	0.1374668416
37	0.1373284699
38	0.1370934364
39	0.1370371346
40	0.1368497013
41	0.1368496156
42	0.1366821083
43	0.1365431746
44	0.1365062374
45	0.1362669863
46	0.1361894394
47	0.1361028249
48	0.136089987
49	0.1360508092
50	0.1359983711
51	0.1359759629
52	0.1359114821
53	0.1357648888
54	0.1357062676
55	0.1356112487
56	0.1355022122
57	0.1353752621
58	0.1353752601
59	0.1353714767
60	0.1352960791
61	0.135096296
62	0.1350689199
63	0.1350687714
64	0.1350236611
65	0.1348874039
66	0.1347832533
67	0.1347105638
68	0.1346410933
69	0.1345970553
70	0.1345138484
71	0.1344492489
72	0.1343861126
73	0.1341809216
74	0.1340173877
75	0.1339197616
76	0.1338017633
77	0.1336746517
78	0.1336604334
79	0.1335793787
80	0.1335718072
81	0.133545009
82	0.1334929692
83	0.1333795369
84	0.1333310202
85	0.1332949802
86	0.1332687835
87	0.1329492824
88	0.1327110276
89	0.1325291103
90	0.1324130029
91	0.1323517271
92	0.1323423695
93	0.1323274569
94	0.1322715161
95	0.1322506928
96	0.1321127953
97	0.132088583
98	0.1320805872
99	0.1320336839
100	0.1319805275
101	0.1319561329
102	0.131860545
103	0.1317959402
104	0.1317959378
105	0.1317545792
106	0.1317303073
107	0.1315991304
108	0.1315508141
109	0.1315253989
110	0.1314641211
111	0.1313340988
112	0.1312753777
113	0.1312595958
114	0.1312161443
115	0.1310663439
116	0.1310283619
117	0.1310049019
118	0.1309503827
119	0.1309252166
120	0.130893659
121	0.1308316914
122	0.130709266
123	0.1306571421
124	0.1305468538
125	0.1305048378
126	0.1304689689
127	0.1304468849
128	0.1303889508
129	0.1302444842
130	0.1301605083
131	0.1300229889
132	0.1299721592
133	0.1298595408
134	0.1298545104
135	0.1298061531
136	0.1297647433
137	0.1297142676
138	0.1295625257
139	0.1295277151
140	0.1294852995
141	0.1294623959
142	0.1294276689
143	0.1293863456
144	0.1293225266
145	0.1292552273
146	0.1291803089
147	0.1291340476
148	0.1291234336
149	0.1290957649
150	0.1290510377
151	0.1290285977
152	0.1289736948
153	0.1289483166
154	0.1288446453
155	0.1287895598
156	0.12875125
157	0.1287423787
158	0.1287077111
159	0.1286715729
160	0.1285528137
161	0.1284858038
162	0.1283766311
163	0.128346877
164	0.1283392639
165	0.1283000654
166	0.1282930539
167	0.128157889
168	0.1280438261
169	0.12798359
170	0.1279376261
171	0.1279217277
172	0.1278267597
173	0.1278090711
174	0.1277700501
175	0.1276752619
176	0.1276569915
177	0.1275663867
178	0.1275511986
179	0.127425779
180	0.12732624
181	0.1272694882
182	0.1272062514
183	0.12719253
184	0.1271145721
185	0.1270611487
186	0.1269719425
187	0.1268384734
188	0.1268104128
189	0.1267586464
190	0.1267468448
191	0.1266591041
192	0.1266019076
193	0.1265389273
194	0.1265092057
195	0.1264707741
196	0.1264536827
197	0.1263255066
198	0.126287857
199	0.1262149879
