iter	Passed	Remaining
0	170	33947
1	193	19156
2	203	13353
3	209	10281
4	217	8474
5	224	7263
6	233	6443
7	249	5981
8	266	5652
9	284	5406
10	302	5201
11	319	4999
12	338	4873
13	350	4659
14	358	4423
15	366	4218
16	374	4032
17	382	3870
18	393	3748
19	402	3626
20	414	3529
21	422	3417
22	431	3321
23	440	3232
24	450	3150
25	459	3072
26	468	2998
27	476	2929
28	484	2854
29	491	2786
30	503	2744
31	514	2703
32	522	2642
33	530	2588
34	541	2552
35	550	2508
36	560	2469
37	569	2427
38	579	2391
39	587	2351
40	596	2314
41	601	2263
42	608	2223
43	619	2197
44	628	2163
45	639	2141
46	652	2124
47	663	2101
48	672	2073
49	680	2041
50	690	2017
51	699	1990
52	707	1962
53	716	1938
54	725	1912
55	734	1888
56	745	1869
57	753	1844
58	758	1811
59	765	1786
60	774	1764
61	786	1751
62	795	1728
63	800	1701
64	809	1680
65	818	1661
66	825	1639
67	833	1618
68	842	1599
69	857	1592
70	867	1575
71	877	1559
72	886	1542
73	895	1525
74	903	1505
75	918	1498
76	927	1481
77	935	1463
78	943	1445
79	953	1429
80	960	1411
81	970	1397
82	979	1381
83	988	1364
84	1000	1354
85	1015	1345
86	1024	1331
87	1039	1323
88	1078	1344
89	1098	1342
90	1132	1357
91	1170	1374
92	1192	1371
93	1205	1359
94	1233	1363
95	1254	1359
96	1276	1355
97	1294	1347
98	1308	1334
99	1322	1322
100	1334	1308
101	1350	1297
102	1361	1282
103	1377	1271
104	1385	1253
105	1397	1239
106	1409	1225
107	1424	1213
108	1442	1204
109	1458	1193
110	1470	1179
111	1483	1165
112	1510	1162
113	1535	1158
114	1553	1147
115	1570	1137
116	1584	1123
117	1598	1110
118	1619	1102
119	1639	1093
120	1662	1085
121	1675	1071
122	1697	1062
123	1706	1045
124	1716	1029
125	1725	1013
126	1734	996
127	1743	980
128	1752	964
129	1762	948
130	1774	934
131	1783	919
132	1793	903
133	1813	893
134	1830	881
135	1862	876
136	1874	861
137	1881	845
138	1896	832
139	1910	818
140	1918	802
141	1927	787
142	1935	771
143	1944	756
144	1954	741
145	1964	726
146	1974	711
147	1984	697
148	1991	681
149	2000	666
150	2009	652
151	2017	636
152	2025	622
153	2032	607
154	2040	592
155	2050	578
156	2059	564
157	2068	549
158	2076	535
159	2084	521
160	2093	507
161	2111	495
162	2133	484
163	2142	470
164	2152	456
165	2161	442
166	2169	428
167	2177	414
168	2187	401
169	2194	387
170	2202	373
171	2210	359
172	2218	346
173	2227	332
174	2238	319
175	2245	306
176	2255	293
177	2265	279
178	2273	266
179	2289	254
180	2298	241
181	2307	228
182	2321	215
183	2334	203
184	2356	191
185	2394	180
186	2417	168
187	2439	155
188	2462	143
189	2476	130
190	2484	117
191	2493	103
192	2501	90
193	2511	77
194	2519	64
195	2527	51
196	2534	38
197	2544	25
198	2555	12
199	2565	0
